Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DOW,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,WBA,DIS
2019-08-15,154.0983428955078,121.49262237548828,200.659912109375,324.1682434082031,113.55465698242188,113.30618286132812,45.56734848022461,53.082489013671875,41.44146728515625,65.5081787109375,192.6852569580078,199.29058837890625,129.03269958496094,45.227134704589844,127.86224365234375,103.6982421875,214.39768981933594,82.34436798095703,132.86375427246094,78.87989044189453,33.80464553833008,115.95606994628906,143.93399047851562,242.17254638671875,122.5435791015625,55.14630889892578,175.72076416015625,112.18679809570312,48.06149673461914,132.61546325683594
2019-08-16,158.67689514160156,123.72631072998047,205.39442443847656,326.58966064453125,114.71729278564453,113.35511779785156,46.266868591308594,53.614593505859375,42.52096939086914,66.5309829711914,195.8675537109375,201.12754821777344,130.83241271972656,46.018856048583984,128.66542053222656,106.1822738647461,214.59414672851562,83.92298126220703,135.29881286621094,79.64378356933594,33.971317291259766,117.72420501708984,145.14012145996094,243.60031127929688,123.8409194946289,55.489139556884766,177.67465209960938,112.4854507446289,49.22183609008789,134.39480590820312
2019-08-19,160.10154724121094,123.49797821044922,209.22381591796875,329.8807067871094,115.63361358642578,114.82332611083984,47.78413772583008,53.8905029296875,43.56226348876953,67.65119171142578,198.5980224609375,205.37429809570312,132.08441162109375,46.74129867553711,129.53717041015625,107.138427734375,214.8986358642578,85.03787994384766,137.5648956298828,80.4870376586914,34.49093246459961,118.77125549316406,145.9013671875,242.62864685058594,125.41554260253906,55.831966400146484,179.17996215820312,113.30178833007812,50.341636657714844,134.48426818847656
2019-08-20,158.19544982910156,120.53958129882812,209.2337646484375,327.87445068359375,114.9537582397461,113.66832733154297,47.22254943847656,53.092342376708984,41.231300354003906,67.24207305908203,196.41757202148438,214.40109252929688,130.08905029296875,46.117820739746094,127.92102813720703,105.77812194824219,214.59414672851562,84.50509643554688,136.42190551757812,79.89179992675781,33.932098388671875,117.4476318359375,144.84352111816406,238.11734008789062,125.45515441894531,55.11692428588867,178.68150329589844,111.54965209960938,49.85947036743164,134.32522583007812
2019-08-21,158.3330078125,121.61175537109375,211.50155639648438,336.0181884765625,115.94890594482422,115.38123321533203,48.05015182495117,53.30912780761719,41.3459358215332,67.91419982910156,197.1051025390625,217.6700897216797,131.3116912841797,46.662132263183594,128.83193969726562,106.07384490966797,216.79440307617188,85.74826049804688,137.9425506591797,82.08428192138672,34.18700408935547,117.74395751953125,145.3674774169922,238.30572509765625,126.098876953125,55.43036651611328,180.37620544433594,111.51978302001953,50.08579635620117,134.9514617919922
2019-08-22,158.06773376464844,121.38341522216797,211.32252502441406,350.26971435546875,116.15581512451172,115.23442840576172,47.46886444091797,53.69342803955078,40.170902252197266,67.76808166503906,198.8140869140625,218.2824249267578,131.38018798828125,46.29595947265625,128.5772705078125,107.16799926757812,215.59605407714844,85.560791015625,136.938720703125,82.64976501464844,34.39289474487305,117.96127319335938,146.1287384033203,230.95875549316406,126.72278594970703,55.61647415161133,179.5288543701172,111.4102783203125,50.13499450683594,135.26956176757812
2019-08-23,153.12567138671875,116.9061279296875,201.5550994873047,351.8510437011719,112.38215637207031,112.73847198486328,45.92203140258789,52.95439147949219,38.89078140258789,65.74195861816406,192.70489501953125,214.77638244628906,126.734130859375,44.49479293823242,125.10989379882812,104.50653839111328,210.85174560546875,83.8045883178711,132.57553100585938,79.80252075195312,33.667388916015625,115.88692474365234,143.08377075195312,228.69813537597656,122.22667694091797,54.77409362792969,174.68399047851562,110.33509826660156,48.53106689453125,130.88583374023438
2019-08-26,153.39093017578125,117.67053985595703,205.3844757080078,354.84564208984375,112.73685455322266,113.2865982055664,46.40480041503906,53.742698669433594,38.99586868286133,66.09263610839844,196.09344482421875,215.9417724609375,127.14494323730469,45.088584899902344,126.11646270751953,105.34441375732422,213.06182861328125,84.73201751708984,134.62295532226562,81.5981674194336,34.1575927734375,117.86249542236328,145.66407775878906,229.1145782470703,124.27665710449219,55.547908782958984,177.03663635253906,111.48991394042969,49.23954772949219,133.80831909179688
2019-08-27,153.02740478515625,116.89620208740234,203.06695556640625,350.58599853515625,111.712158203125,113.37470245361328,46.09938049316406,53.920066833496094,39.330223083496094,65.4497299194336,194.54159545898438,215.50721740722656,128.29910278320312,45.316200256347656,127.93221282958984,104.23052978515625,212.21707153320312,84.3768310546875,134.9111785888672,81.3799057006836,33.667388916015625,119.07746887207031,145.42681884765625,221.03387451171875,123.36556243896484,56.008277893066406,177.82418823242188,111.91799926757812,48.65898895263672,133.6890411376953
2019-08-28,154.7959442138672,118.22647857666016,204.42962646484375,355.7647705078125,113.17039489746094,114.35350036621094,46.17819595336914,54.30436325073242,40.61989974975586,65.92703247070312,196.84971618652344,219.20089721679688,129.85430908203125,45.316200256347656,126.98485565185547,105.27540588378906,214.2012481689453,85.32400512695312,134.73226928710938,82.81842041015625,34.39289474487305,119.9170913696289,144.70510864257812,225.4163055419922,125.64332580566406,56.76250076293945,178.11328125,112.21665954589844,49.1509895324707,135.7367706298828
2019-08-29,157.55682373046875,119.86451721191406,207.89097595214844,358.5024108886719,116.03758239746094,115.02886962890625,46.57229232788086,54.2452392578125,41.154117584228516,66.6576156616211,201.0699920654297,224.50439453125,131.92791748046875,46.38502502441406,126.55066680908203,107.6608657836914,216.62741088867188,85.560791015625,137.27664184570312,84.70336151123047,34.63800048828125,119.69977569580078,145.2686309814453,228.65847778320312,128.25779724121094,56.75270080566406,180.60548400878906,113.57058715820312,49.59379196166992,137.01907348632812
